,soil_moisture,humidity,temperature,labels
1007,72,28,31.8,0
1008,72,29,32.0,0
1009,72,31,31.8,0
1010,72,31,31.3,0
1011,72,29,34.4,0
1012,71,28,33.5,0
1013,71,31,33.9,0
1014,71,33,34.2,0
1015,72,35,33.9,0
1016,71,34,34.1,0
1017,72,34,34.0,0
1018,72,33,34.8,0
1019,71,35,32.6,0
1020,71,35,32.9,0
1021,71,34,34.9,0
1022,71,35,34.4,0
1023,71,36,34.6,0
1024,71,35,34.7,0
1025,71,38,33.8,0
1026,71,38,34.7,0
1027,71,42,31.8,0
1028,70,43,32.0,0
1029,70,39,33.1,0
1030,70,39,33.4,0
1031,70,38,33.9,0
1032,70,40,32.7,0
1033,70,41,32.8,0
1034,70,44,31.5,0
1035,70,42,30.7,0
1036,70,48,30.9,0
1037,70,47,30.4,0
1038,70,48,30.8,0
1039,70,43,33.0,0
1040,70,41,33.4,0
1041,70,44,32.8,0
1042,69,41,33.0,0
1043,69,43,33.2,0
1044,69,45,32.7,0
1045,69,45,31.2,0
1046,69,42,31.5,0
1047,68,44,31.4,0
1048,68,40,33.0,0
1049,68,40,33.9,0
1050,68,41,33.1,0
1051,68,42,32.8,0
1052,68,40,33.1,0
1053,68,41,33.4,0
1054,67,40,32.9,0
1055,68,44,32.4,0
1056,67,47,31.3,0
1057,67,48,31.9,0
1058,67,48,32.4,0
1059,67,50,31.5,0
1060,68,48,32.6,0
1061,68,48,32.7,0
1062,68,48,32.6,0
1063,68,50,31.8,0
1064,68,48,32.0,0
1065,67,52,30.6,0
1066,67,51,31.7,0
1067,67,52,30.3,0
1068,67,51,31.2,0
1069,66,51,31.7,0
1070,67,53,31.4,0
1071,66,53,31.5,0
1072,67,54,31.2,0
1073,67,59,29.3,0
1074,67,60,28.9,1
1075,67,60,28.5,1
1076,66,60,29.1,1
1077,67,58,29.4,0
1078,67,59,28.7,0
1079,67,60,28.5,1
1080,67,62,27.9,1
1081,68,62,27.5,1
1082,68,62,27.7,1
1083,68,62,27.7,1
1084,68,64,27.4,1
1085,68,66,26.8,1
1086,68,68,26.3,1
1087,68,71,26.1,1
1088,68,71,25.8,1
1089,68,72,25.7,1
1090,68,72,25.7,1
1091,67,72,25.8,1
1092,67,74,25.5,1
1093,67,75,25.3,1
1094,67,74,25.4,1
1095,67,74,25.2,1
1096,68,76,25.0,1
1097,67,76,25.0,1
1098,68,77,24.9,1
1099,68,76,24.8,1
1100,67,77,24.7,1
1101,67,78,24.6,1
1102,67,79,24.5,1
1103,67,81,24.3,0
1104,67,82,24.3,0
1105,67,82,24.2,0
1106,67,83,24.1,0
1107,67,84,24.0,0
1108,67,84,23.9,0
1109,67,85,24.0,0
1110,66,85,23.9,0
1111,66,86,23.8,0
1112,67,86,23.7,0
1113,67,87,23.7,0
1114,67,86,23.7,0
1115,66,87,23.7,0
1116,67,87,23.6,0
1117,67,87,23.5,0
1118,67,86,23.6,0
1119,66,86,23.5,0
1120,66,87,23.4,0
1121,67,87,23.5,0
1122,66,87,23.4,0
1123,66,88,23.1,0
1124,66,88,23.0,0
1125,66,88,23.1,0
1126,66,85,23.5,0
1127,66,85,23.2,0
1128,66,84,23.3,0
1129,66,86,23.2,0
1130,66,86,23.2,0
